id,rollno,year_of_joining,year_of_graduation,learner_code,institution_code,branch_code
958,"98['U', 't', 'y']959",2018,2022,929,15,32
959,"18['V', 'H', 'P']580",2017,2021,993,38,9
960,"35['d', 'H', 'T']250",2015,2019,718,25,5
961,"27['G', 'k', 'a']864",2018,2022,436,21,6
962,"84['O', 'O', 'e']980",2018,2022,696,18,18
963,"72['k', 'W', 'C']748",2015,2019,589,47,18
964,"45['l', 'l', 'x']964",2020,2024,826,9,1
965,"48['q', 'e', 'k']366",2021,2025,206,18,14
966,"3['c', 'T', 'K']684",2017,2021,750,2,9
967,"35['F', 'e', 'y']912",2015,2019,389,49,20
968,"63['c', 'N', 'b']953",2017,2021,95,15,2
969,"74['g', 'B', 'g']157",2016,2020,51,22,5
970,"95['y', 'N', 'p']189",2016,2020,984,39,3
971,"97['M', 'F', 'L']545",2020,2024,133,20,21
972,"0['M', 'j', 'p']902",2018,2022,901,28,32
973,"41['u', 'X', 'Z']577",2018,2022,446,9,31
974,"11['k', 'A', 'D']641",2022,2026,157,37,6
975,"64['t', 'L', 'w']725",2019,2023,407,28,35
976,"9['L', 'q', 'x']423",2022,2026,695,24,1
977,"66['q', 'e', 'v']190",2020,2024,843,6,3
978,"15['P', 'N', 't']275",2016,2020,230,38,29
979,"68['Y', 'e', 'y']356",2016,2020,278,10,19
980,"93['K', 'M', 'k']93",2019,2023,950,18,9
981,"93['b', 'w', 'H']839",2021,2025,829,33,9
982,"1['o', 'i', 'N']191",2017,2021,107,43,13
983,"98['Z', 'J', 'q']462",2021,2025,812,50,35
984,"40['G', 'O', 'f']377",2015,2019,725,20,20
985,"77['N', 'V', 'Q']97",2017,2021,899,2,1
986,"72['x', 'B', 'F']155",2018,2022,36,49,35
987,"76['k', 'f', 'G']953",2019,2023,482,45,16
988,"24['z', 'q', 'X']473",2018,2022,54,19,9
989,"1['Q', 'G', 'y']534",2021,2025,408,3,39
990,"95['K', 'r', 'H']615",2017,2021,62,20,18
991,"39['k', 'U', 'Y']647",2020,2024,24,9,19
992,"67['Y', 'k', 'A']55",2019,2023,224,8,32
993,"75['z', 'X', 't']570",2022,2026,541,18,36
994,"27['L', 'D', 'x']760",2016,2020,936,9,15
995,"94['e', 'Z', 'k']956",2017,2021,794,48,3
996,"49['n', 'h', 'p']135",2017,2021,7,6,17
997,"58['n', 'H', 'g']329",2021,2025,249,25,32
998,"77['a', 'O', 'U']301",2021,2025,773,2,21
999,"78['H', 'R', 'Q']761",2018,2022,843,11,1
1000,"41['r', 'P', 'y']73",2021,2025,791,34,5
1001,"30['i', 'a', 'd']589",2022,2026,539,11,14
1002,"96['R', 'v', 'u']946",2019,2023,271,39,4
1003,"58['K', 'p', 'X']324",2022,2026,92,41,39
1004,"61['F', 'e', 'u']366",2016,2020,424,11,36
1005,"70['r', 'd', 'X']776",2017,2021,878,15,38
1006,"53['v', 'C', 'V']284",2020,2024,610,6,23
1007,"94['B', 'x', 'f']321",2019,2023,726,20,9
1008,"80['p', 'j', 'H']456",2019,2023,760,34,33
1009,"1['E', 'w', 'j']491",2017,2021,664,11,38
1010,"42['H', 'g', 'T']822",2020,2024,204,30,25
1011,"40['P', 'y', 'z']374",2017,2021,349,29,2
1012,"51['g', 'L', 'o']870",2016,2020,282,22,8
1013,"12['d', 'z', 'f']240",2021,2025,409,23,6
1014,"91['q', 'N', 'x']146",2019,2023,91,20,28
1015,"46['A', 'N', 'X']126",2019,2023,8,18,40
1016,"81['W', 'g', 'o']629",2015,2019,760,47,12
1017,"86['q', 'd', 'R']675",2016,2020,756,50,37
1018,"46['v', 'y', 'Y']626",2017,2021,960,20,18
1019,"23['T', 'u', 'T']345",2018,2022,142,2,4
1020,"31['h', 'q', 'o']471",2016,2020,442,17,13
1021,"26['H', 'U', 'V']915",2022,2026,55,28,22
1022,"68['q', 'p', 'l']146",2022,2026,922,30,10
1023,"13['b', 'N', 'P']437",2015,2019,206,1,20
1024,"12['a', 'f', 'F']343",2016,2020,814,11,31
1025,"90['t', 'G', 'P']68",2019,2023,746,43,4
1026,"64['u', 'W', 'D']717",2015,2019,94,24,4
1027,"29['B', 'D', 'Q']751",2020,2024,162,9,35
1028,"62['n', 'f', 'd']245",2021,2025,498,48,4
1029,"2['N', 'n', 'A']366",2017,2021,44,18,40
1030,"43['V', 'Q', 'Q']336",2021,2025,144,41,13
1031,"40['J', 'l', 'h']253",2016,2020,510,39,16
1032,"79['b', 's', 'V']348",2020,2024,159,8,29
1033,"4['L', 'U', 'T']119",2017,2021,841,17,30
1034,"85['A', 'e', 'Q']1",2020,2024,565,38,32
1035,"29['g', 'n', 'T']15",2020,2024,604,45,24
1036,"18['D', 'A', 'A']396",2018,2022,475,25,30
1037,"1['s', 'D', 'A']456",2016,2020,867,8,29
1038,"90['n', 'F', 'i']869",2021,2025,435,3,17
1039,"2['x', 'Y', 'o']514",2017,2021,569,40,1
1040,"33['A', 'x', 'd']347",2020,2024,967,13,28
1041,"37['J', 'f', 'A']114",2021,2025,170,43,12
1042,"67['g', 'A', 'U']113",2016,2020,152,6,9
1043,"66['i', 'g', 'g']587",2021,2025,99,7,39
1044,"3['l', 'S', 'f']867",2020,2024,605,20,36
1045,"37['Q', 'C', 'K']532",2017,2021,9,43,30
1046,"20['n', 'K', 'T']941",2015,2019,401,42,15
1047,"56['D', 'M', 'q']946",2022,2026,799,47,12
1048,"18['f', 'H', 'k']266",2017,2021,267,38,17
1049,"37['Z', 'L', 'F']3",2016,2020,530,50,39
1050,"98['H', 'S', 'W']725",2015,2019,302,47,5
1051,"73['O', 's', 'G']909",2021,2025,951,47,34
1052,"7['I', 'F', 'b']639",2018,2022,132,22,22
1053,"52['E', 'V', 'q']348",2018,2022,505,7,16
1054,"5['Q', 'd', 'E']533",2016,2020,469,30,26
1055,"94['X', 'J', 'T']834",2017,2021,688,40,17
1056,"40['p', 'I', 'g']186",2019,2023,10,36,28
1057,"57['s', 's', 'L']276",2018,2022,680,8,28
1058,"8['a', 'w', 'q']543",2019,2023,635,16,27
1059,"57['D', 'C', 'U']597",2016,2020,864,2,4
1060,"62['Y', 'A', 'M']21",2021,2025,447,18,38
1061,"56['G', 'p', 'b']611",2015,2019,404,25,21
1062,"73['W', 'u', 'E']900",2022,2026,374,24,11
1063,"21['q', 'R', 'F']390",2017,2021,773,33,7
1064,"99['D', 'W', 'N']967",2022,2026,501,24,13
1065,"40['g', 'J', 'V']189",2022,2026,500,2,25
1066,"2['P', 'V', 'J']104",2022,2026,799,32,34
1067,"93['Z', 'A', 'x']102",2015,2019,937,36,36
1068,"16['D', 'u', 'u']736",2019,2023,528,23,36
1069,"10['g', 'O', 'v']598",2017,2021,269,21,30
1070,"19['l', 'C', 's']601",2016,2020,921,28,16
1071,"73['l', 'n', 't']687",2017,2021,716,4,11
1072,"6['n', 'e', 'U']746",2019,2023,464,18,4
1073,"85['k', 'y', 'L']124",2015,2019,898,47,26
1074,"76['c', 'l', 'U']302",2019,2023,330,39,22
1075,"29['u', 'C', 'O']65",2020,2024,77,3,31
1076,"46['c', 'N', 'S']702",2022,2026,894,25,6
1077,"1['L', 'M', 'v']125",2019,2023,650,12,10
1078,"58['z', 'T', 'Q']897",2015,2019,692,42,14
1079,"18['w', 'z', 'O']952",2015,2019,678,8,4
1080,"14['H', 'p', 'h']966",2015,2019,912,26,22
1081,"47['l', 'U', 'K']150",2016,2020,646,21,28
1082,"97['n', 'z', 'U']973",2020,2024,29,39,10
1083,"5['K', 'a', 'u']284",2015,2019,473,25,17
1084,"98['G', 'O', 'W']833",2019,2023,715,36,8
1085,"42['n', 'X', 'f']803",2022,2026,773,24,34
1086,"12['s', 'z', 'y']900",2022,2026,170,4,30
1087,"85['w', 'p', 'f']259",2017,2021,968,17,3
1088,"46['G', 'L', 'B']51",2016,2020,889,44,32
1089,"37['K', 's', 'k']646",2019,2023,186,37,31
1090,"38['y', 'y', 'Y']412",2016,2020,396,17,28
1091,"62['I', 'U', 'n']765",2018,2022,315,42,18
1092,"33['j', 'G', 'k']105",2019,2023,60,16,31
1093,"88['h', 't', 'q']429",2020,2024,233,29,3
1094,"70['N', 'h', 'd']494",2015,2019,686,18,36
1095,"28['c', 't', 'R']659",2021,2025,120,9,10
1096,"64['J', 'Q', 'O']643",2021,2025,412,50,13
1097,"21['k', 'X', 'R']582",2018,2022,526,19,39
1098,"78['T', 'm', 'z']34",2015,2019,649,33,3
1099,"1['J', 'O', 'W']11",2020,2024,509,37,36
1100,"5['y', 'A', 'A']311",2020,2024,178,28,28
1101,"83['y', 'p', 'O']938",2020,2024,456,25,10
1102,"97['Z', 'l', 'e']92",2017,2021,479,6,4
1103,"83['u', 'g', 'c']420",2022,2026,852,13,31
1104,"42['d', 'g', 'F']848",2018,2022,324,26,5
1105,"10['d', 'D', 'k']581",2020,2024,685,28,35
1106,"81['b', 'p', 'E']31",2022,2026,838,1,5
1107,"77['T', 'q', 'M']450",2017,2021,446,5,36
1108,"27['n', 's', 'h']806",2019,2023,917,14,32
1109,"81['x', 'Q', 'a']293",2021,2025,850,1,15
1110,"92['V', 'O', 'W']577",2019,2023,537,30,13
1111,"74['Y', 'D', 'l']666",2022,2026,335,45,34
1112,"71['p', 'I', 'K']924",2015,2019,677,30,25
1113,"43['y', 'W', 'Q']472",2017,2021,182,28,40
1114,"46['K', 'a', 'F']892",2020,2024,736,31,15
1115,"8['U', 'Q', 'y']276",2017,2021,962,10,7
1116,"91['I', 'T', 'P']719",2021,2025,994,18,10
1117,"14['U', 'z', 'q']750",2021,2025,766,38,19
1118,"5['r', 'p', 'P']511",2015,2019,561,17,22
1119,"65['z', 'm', 'o']526",2021,2025,49,5,34
1120,"98['g', 'h', 'j']828",2017,2021,351,48,1
1121,"80['w', 'a', 'u']710",2017,2021,871,3,22
1122,"85['j', 'z', 'x']322",2021,2025,670,36,22
1123,"50['i', 'e', 'M']757",2021,2025,127,23,23
1124,"44['j', 'm', 's']119",2016,2020,117,36,19
1125,"54['L', 'e', 'P']524",2021,2025,586,29,16
1126,"2['E', 'z', 'l']57",2015,2019,282,34,8
1127,"19['C', 'p', 'E']728",2019,2023,195,2,33
1128,"86['i', 'q', 'D']75",2017,2021,185,10,33
1129,"76['v', 'D', 'Q']52",2015,2019,192,16,18
1130,"63['Z', 'A', 'L']854",2016,2020,117,14,22
1131,"1['i', 'S', 'K']992",2017,2021,974,11,31
1132,"50['T', 'c', 'c']915",2016,2020,23,7,33
1133,"47['T', 'p', 'K']335",2016,2020,489,11,37
1134,"60['I', 'j', 'o']830",2021,2025,372,4,30
1135,"20['o', 'p', 'I']473",2016,2020,843,24,19
1136,"95['A', 'h', 'c']386",2021,2025,243,17,11
1137,"36['t', 'Z', 'M']463",2016,2020,639,34,7
1138,"0['c', 'P', 'E']611",2016,2020,809,28,20
1139,"9['O', 'T', 'b']694",2017,2021,149,23,13
1140,"50['z', 'x', 'l']356",2021,2025,574,39,26
1141,"90['Z', 'T', 'U']351",2019,2023,212,3,32
1142,"31['z', 'P', 'x']881",2016,2020,939,47,20
1143,"80['m', 'Z', 'V']412",2015,2019,520,37,16
1144,"54['H', 'W', 'k']597",2018,2022,548,13,28
1145,"46['x', 'A', 'Q']481",2018,2022,826,24,16
1146,"82['i', 'L', 'f']417",2017,2021,912,3,1
1147,"42['L', 'W', 'F']631",2020,2024,710,39,24
1148,"24['B', 'W', 'z']452",2021,2025,744,48,18
1149,"57['f', 'Z', 'n']123",2019,2023,299,12,40
1150,"3['Q', 'M', 'R']413",2019,2023,586,19,33
1151,"38['u', 'p', 'T']898",2022,2026,569,41,32
1152,"92['K', 'S', 'D']875",2015,2019,64,41,13
1153,"71['k', 'K', 'g']298",2021,2025,136,50,8
1154,"58['F', 'R', 'n']332",2019,2023,524,26,34
1155,"11['G', 'D', 'h']149",2021,2025,422,19,22
1156,"43['O', 'o', 'S']968",2015,2019,294,11,7
1157,"85['g', 's', 'G']806",2017,2021,242,5,15
1158,"49['N', 't', 'j']882",2020,2024,949,22,16
1159,"22['t', 'j', 'a']685",2021,2025,382,42,20
1160,"25['w', 'i', 'l']583",2021,2025,680,1,5
1161,"43['u', 'r', 'j']817",2015,2019,928,9,5
1162,"78['R', 'k', 'N']123",2018,2022,562,17,27
1163,"45['a', 'u', 'x']170",2016,2020,623,16,35
1164,"82['n', 'u', 'n']129",2020,2024,427,42,28
1165,"66['j', 'b', 'G']743",2018,2022,176,42,2
1166,"76['i', 'H', 'Z']193",2016,2020,171,35,29
1167,"16['C', 'N', 'b']267",2017,2021,540,40,20
1168,"4['e', 'K', 'E']779",2019,2023,570,8,21
1169,"61['r', 'F', 'a']417",2020,2024,949,23,3
1170,"89['G', 'q', 'P']585",2017,2021,523,4,7
1171,"24['y', 'B', 'a']578",2021,2025,828,15,28
1172,"75['o', 'h', 'N']517",2020,2024,223,19,14
1173,"29['s', 'c', 'j']911",2017,2021,632,25,28
1174,"79['b', 'W', 'h']656",2020,2024,149,16,38
1175,"99['N', 'E', 'e']665",2021,2025,628,26,3
1176,"50['g', 'M', 'Y']145",2017,2021,172,17,33
1177,"22['c', 'c', 'p']821",2022,2026,338,23,23
1178,"8['f', 'U', 'd']871",2020,2024,736,24,18
1179,"3['E', 's', 'y']652",2019,2023,490,5,10
1180,"52['j', 'd', 't']493",2016,2020,752,41,22
1181,"60['q', 'k', 't']55",2016,2020,549,3,30
1182,"33['l', 'u', 'e']729",2015,2019,815,7,25
1183,"50['A', 's', 'i']122",2015,2019,961,7,13
1184,"63['g', 'P', 'k']423",2020,2024,991,1,8
1185,"39['c', 'w', 'T']264",2019,2023,616,35,10
1186,"65['E', 's', 'k']252",2022,2026,45,21,36
1187,"2['Z', 'e', 'a']554",2018,2022,47,46,8
1188,"63['I', 'o', 'r']479",2022,2026,724,17,37
1189,"48['f', 'V', 'B']315",2016,2020,277,39,26
1190,"95['R', 'Y', 'c']632",2019,2023,8,22,25
1191,"30['t', 'y', 'n']712",2022,2026,970,10,18
1192,"35['z', 'r', 'r']816",2020,2024,494,28,24
1193,"21['R', 'x', 'i']891",2016,2020,793,42,16
1194,"15['l', 't', 'W']33",2020,2024,660,10,32
1195,"7['e', 'G', 'm']913",2020,2024,432,6,4
1196,"75['O', 'e', 'x']157",2022,2026,315,18,1
1197,"88['h', 'e', 'k']3",2016,2020,754,24,3
1198,"14['x', 'm', 'u']364",2020,2024,142,43,27
1199,"79['u', 'j', 'z']630",2021,2025,658,5,34
1200,"14['B', 'j', 'X']689",2022,2026,366,26,19
1201,"25['A', 'G', 'u']54",2021,2025,697,48,3
1202,"6['f', 'T', 'h']525",2018,2022,578,40,4
1203,"67['h', 'L', 'c']139",2015,2019,949,21,37
1204,"24['B', 'V', 'h']184",2017,2021,546,1,40
1205,"27['P', 'l', 'g']876",2020,2024,388,28,34
1206,"50['g', 'r', 'H']66",2022,2026,58,20,15
1207,"65['c', 'E', 'N']736",2022,2026,900,21,29
1208,"46['m', 'R', 'p']653",2021,2025,84,16,5
1209,"40['D', 'O', 'h']592",2019,2023,144,22,35
1210,"67['p', 'd', 'c']656",2017,2021,572,14,13
1211,"31['M', 'u', 'a']350",2020,2024,149,36,22
1212,"57['o', 'u', 'k']44",2016,2020,801,38,15
1213,"46['K', 'W', 'm']10",2018,2022,283,41,11
1214,"4['u', 'i', 'V']699",2020,2024,829,31,27
1215,"7['W', 'F', 'r']310",2015,2019,227,48,30
1216,"1['x', 'H', 'k']968",2017,2021,623,50,12
1217,"85['g', 's', 't']571",2016,2020,335,7,4
1218,"61['s', 'd', 'l']45",2020,2024,949,40,2
1219,"84['u', 'd', 'E']878",2016,2020,132,11,22
1220,"46['v', 'W', 'j']799",2017,2021,997,42,40
1221,"68['S', 'n', 'D']762",2020,2024,455,3,39
1222,"72['g', 'Z', 'Z']512",2022,2026,989,28,33
1223,"50['d', 'j', 'L']180",2016,2020,305,36,35
1224,"55['d', 'R', 'n']452",2016,2020,249,49,4
1225,"88['N', 'Q', 'r']312",2020,2024,257,33,14
1226,"3['D', 'W', 'J']431",2022,2026,406,41,5
1227,"7['m', 'u', 'N']299",2017,2021,224,32,17
1228,"52['n', 'X', 'g']757",2021,2025,398,46,4
1229,"72['D', 'G', 'P']316",2021,2025,860,42,10
1230,"15['B', 'R', 'O']454",2016,2020,66,30,19
1231,"38['l', 'M', 'a']33",2015,2019,856,20,2
1232,"67['g', 'K', 'M']665",2022,2026,797,33,24
1233,"40['h', 'l', 'f']971",2016,2020,206,7,19
1234,"26['Q', 'l', 'f']468",2020,2024,212,8,5
1235,"63['S', 'w', 'h']770",2020,2024,58,9,35
1236,"19['I', 'u', 'B']219",2020,2024,613,33,14
1237,"18['e', 's', 'H']160",2017,2021,934,49,35
1238,"87['W', 'A', 'k']255",2022,2026,703,47,26
1239,"90['J', 'y', 'C']780",2019,2023,22,34,14
1240,"17['B', 'K', 'Y']969",2021,2025,179,37,38
1241,"13['u', 'z', 'e']916",2021,2025,843,6,28
1242,"50['T', 'o', 'e']608",2022,2026,17,26,10
1243,"31['n', 'K', 'l']84",2017,2021,573,14,12
1244,"35['i', 'b', 't']693",2017,2021,200,24,25
1245,"45['D', 'j', 'e']817",2021,2025,872,27,33
1246,"63['q', 'm', 'f']900",2019,2023,151,16,13
1247,"79['n', 'g', 'N']37",2022,2026,903,43,38
1248,"80['m', 'n', 'f']897",2016,2020,161,26,38
1249,"12['g', 'h', 'w']189",2018,2022,186,34,40
1250,"66['W', 'b', 'Y']534",2018,2022,961,46,17
1251,"7['m', 'i', 'S']496",2015,2019,192,37,2
1252,"97['x', 'Y', 'B']842",2018,2022,269,42,29
1253,"0['r', 'l', 'z']985",2016,2020,736,18,27
1254,"43['y', 'm', 'U']248",2021,2025,336,48,5
1255,"13['X', 'R', 'J']473",2019,2023,536,22,9
1256,"16['W', 'R', 'O']134",2015,2019,385,8,31
1257,"32['j', 'S', 'k']209",2016,2020,700,15,5
1258,"83['v', 'K', 'M']642",2018,2022,404,12,19
1259,"59['e', 'B', 'M']509",2016,2020,328,41,2
1260,"89['s', 'e', 's']129",2017,2021,188,46,24
1261,"75['R', 'S', 'g']952",2021,2025,901,33,9
1262,"13['Q', 'M', 'S']327",2019,2023,3,34,6
1263,"78['O', 'Q', 'k']346",2020,2024,861,27,29
1264,"39['g', 'c', 'A']362",2020,2024,422,43,28
1265,"81['F', 'Z', 'f']692",2018,2022,333,43,37
1266,"35['E', 'w', 'j']528",2015,2019,670,6,22
1267,"17['b', 'p', 'o']852",2020,2024,910,27,15
1268,"47['j', 'r', 'e']469",2020,2024,531,9,23
1269,"56['I', 'T', 'P']892",2017,2021,65,5,2
1270,"91['K', 'w', 'u']361",2020,2024,185,48,32
1271,"46['W', 'y', 'o']763",2022,2026,177,26,26
1272,"86['J', 'v', 'G']697",2019,2023,922,14,4
1273,"78['s', 'h', 'w']376",2018,2022,781,4,5
1274,"17['O', 'Z', 'r']761",2015,2019,904,41,37
1275,"15['N', 'b', 'j']489",2017,2021,147,13,3
1276,"93['q', 'w', 'b']444",2022,2026,230,15,31
1277,"20['r', 'W', 'u']615",2021,2025,546,34,22
1278,"47['q', 'u', 'n']807",2018,2022,207,18,25
1279,"41['N', 'h', 'B']235",2020,2024,2,23,12
1280,"95['V', 'C', 'Z']874",2015,2019,796,50,26
1281,"22['z', 'L', 'O']151",2018,2022,231,26,16
1282,"23['G', 'd', 'M']453",2019,2023,442,3,16
1283,"92['b', 'I', 'Q']784",2020,2024,647,11,18
1284,"62['e', 'j', 'l']318",2021,2025,260,10,3
1285,"17['y', 'r', 't']808",2020,2024,635,28,18
1286,"9['S', 'W', 'd']670",2020,2024,754,1,16
1287,"63['M', 'M', 'l']415",2017,2021,729,7,15
1288,"38['M', 'd', 'S']847",2020,2024,86,22,8
1289,"52['a', 'p', 'n']644",2022,2026,328,36,37
1290,"29['C', 'e', 'F']344",2022,2026,901,38,1
1291,"52['d', 'N', 'G']373",2021,2025,226,2,40
1292,"46['K', 'g', 'c']432",2021,2025,777,13,30
1293,"96['N', 'N', 'w']887",2017,2021,133,20,29
1294,"54['s', 'M', 'w']449",2022,2026,57,16,5
1295,"23['t', 'b', 'y']594",2017,2021,718,46,11
1296,"67['f', 'T', 'd']257",2021,2025,296,33,11
1297,"71['z', 'O', 'j']615",2017,2021,740,20,38
1298,"61['D', 'G', 'I']277",2020,2024,163,27,31
1299,"42['w', 'u', 'Y']360",2020,2024,80,9,28
1300,"32['X', 'b', 'E']228",2021,2025,146,47,23
1301,"91['A', 'f', 'w']101",2022,2026,458,31,24
1302,"11['I', 't', 'r']886",2018,2022,295,36,36
1303,"52['V', 'g', 'R']408",2017,2021,318,7,25
1304,"25['r', 'G', 'f']400",2020,2024,245,6,34
1305,"99['S', 'J', 'M']539",2015,2019,78,42,25
1306,"24['H', 'c', 'q']916",2022,2026,907,19,23
1307,"42['k', 'Q', 'O']419",2020,2024,793,29,36
1308,"14['u', 'J', 'P']656",2015,2019,525,32,39
1309,"15['E', 'w', 'R']806",2018,2022,888,34,15
1310,"12['V', 'f', 'w']403",2020,2024,50,29,19
1311,"93['v', 'p', 'U']217",2015,2019,800,7,6
1312,"75['S', 'm', 'k']262",2020,2024,180,25,39
1313,"93['R', 'f', 'V']504",2022,2026,420,13,32
1314,"17['z', 'e', 'J']325",2015,2019,64,31,25
1315,"37['X', 'X', 'u']476",2020,2024,993,20,30
1316,"62['G', 'Q', 'd']114",2019,2023,926,10,2
1317,"71['U', 'H', 's']932",2020,2024,787,17,31
1318,"43['K', 't', 'L']98",2016,2020,882,2,3
1319,"76['N', 'A', 'v']850",2016,2020,341,19,3
1320,"65['s', 'B', 'i']73",2021,2025,582,23,27
1321,"39['x', 'v', 'B']429",2015,2019,843,1,9
1322,"60['c', 'Y', 'M']883",2015,2019,918,27,34
1323,"83['F', 'N', 'b']889",2021,2025,902,6,33
1324,"73['r', 'M', 'o']56",2022,2026,880,35,34
1325,"77['l', 'L', 'T']807",2020,2024,102,43,39
1326,"39['O', 'M', 'U']590",2019,2023,97,38,5
1327,"41['f', 'V', 'w']347",2016,2020,471,26,17
1328,"83['s', 'u', 'u']289",2019,2023,524,28,37
1329,"95['B', 'c', 'j']314",2022,2026,445,18,8
1330,"38['E', 'v', 'U']756",2015,2019,943,38,29
1331,"88['l', 'L', 'J']903",2016,2020,437,43,15
1332,"79['w', 'm', 'Y']491",2021,2025,661,43,38
1333,"62['L', 'q', 'q']382",2020,2024,453,24,3
1334,"49['v', 'Q', 'Y']540",2019,2023,174,14,12
1335,"21['f', 'H', 'b']784",2018,2022,165,8,1
1336,"9['R', 'q', 'N']515",2020,2024,397,30,24
1337,"96['T', 'v', 'P']289",2022,2026,41,3,38
1338,"65['W', 'R', 'e']229",2021,2025,723,31,13
1339,"17['T', 'P', 'Q']653",2018,2022,708,40,9
1340,"50['Y', 'b', 'o']493",2019,2023,262,39,34
1341,"34['F', 'r', 'i']49",2016,2020,385,21,14
1342,"18['W', 'Y', 'C']960",2022,2026,998,29,6
1343,"84['K', 's', 'G']382",2019,2023,682,12,33
1344,"81['N', 'R', 'I']894",2018,2022,773,8,15
1345,"33['F', 'E', 'n']889",2015,2019,234,32,15
1346,"68['v', 'G', 'W']117",2016,2020,483,22,17
1347,"23['T', 's', 'b']858",2022,2026,790,24,20
1348,"80['j', 'C', 'O']410",2021,2025,271,25,40
1349,"71['z', 'Q', 'j']237",2017,2021,540,5,32
1350,"16['q', 'L', 'C']862",2019,2023,162,12,25
1351,"8['U', 'J', 'H']502",2018,2022,11,47,18
1352,"2['Z', 'x', 'U']663",2020,2024,908,41,28
1353,"84['Z', 's', 'W']81",2022,2026,62,43,6
1354,"27['Y', 'l', 'v']417",2020,2024,159,17,20
1355,"77['W', 'u', 'P']159",2021,2025,102,46,14
1356,"82['y', 'C', 'r']49",2017,2021,208,25,34
1357,"8['d', 's', 'w']338",2018,2022,779,9,23
1358,"72['s', 'O', 'f']894",2017,2021,783,21,11
1359,"84['r', 'Z', 'f']684",2021,2025,279,28,17
1360,"84['B', 'b', 'I']570",2018,2022,967,24,26
1361,"71['v', 'U', 'Z']3",2015,2019,851,28,24
1362,"16['X', 'z', 'D']662",2019,2023,328,22,8
1363,"49['b', 'b', 'a']348",2016,2020,935,3,9
1364,"21['k', 'e', 'm']739",2020,2024,631,42,40
1365,"42['n', 't', 'e']593",2021,2025,81,13,11
1366,"63['v', 'b', 'H']329",2021,2025,38,2,19
1367,"92['F', 'X', 'J']244",2022,2026,331,37,2
1368,"8['x', 'M', 'E']104",2017,2021,418,23,6
1369,"60['m', 'I', 'D']475",2022,2026,989,32,22
1370,"93['t', 'P', 'b']12",2015,2019,169,29,16
1371,"22['K', 'X', 'j']291",2015,2019,966,14,37
1372,"66['V', 'x', 'y']291",2019,2023,877,38,20
1373,"29['G', 'q', 'J']95",2020,2024,730,31,7
1374,"93['V', 'u', 'G']803",2020,2024,883,10,28
1375,"41['f', 'a', 'R']884",2022,2026,108,41,29
1376,"36['A', 'I', 'I']630",2021,2025,333,47,32
1377,"96['A', 'V', 'r']11",2018,2022,952,26,39
1378,"50['t', 'T', 'G']718",2017,2021,469,21,19
1379,"75['V', 'w', 'j']298",2016,2020,570,50,25
1380,"16['M', 'f', 'G']681",2018,2022,94,50,4
1381,"76['o', 'c', 't']626",2022,2026,430,22,29
1382,"40['K', 'b', 'o']648",2020,2024,717,8,18
1383,"2['I', 'R', 'q']734",2015,2019,226,22,21
1384,"94['G', 'a', 'x']664",2020,2024,765,3,19
1385,"89['H', 'E', 'o']770",2022,2026,859,45,5
1386,"80['R', 'Y', 'y']58",2015,2019,850,47,22
1387,"46['A', 'N', 'F']526",2019,2023,77,14,19
1388,"41['O', 'G', 'r']100",2016,2020,843,7,5
1389,"98['S', 'x', 'a']180",2018,2022,203,17,10
1390,"19['d', 'z', 'w']570",2019,2023,81,47,3
1391,"42['u', 'p', 'C']50",2018,2022,702,45,40
1392,"91['m', 'f', 'j']51",2015,2019,380,31,2
1393,"48['O', 'u', 'Z']980",2020,2024,990,19,29
1394,"33['J', 'P', 'C']14",2022,2026,340,22,4
1395,"32['G', 'I', 'G']432",2021,2025,673,26,12
1396,"88['Y', 'R', 'e']690",2018,2022,391,12,36
1397,"15['Z', 'W', 'f']926",2021,2025,498,7,12
1398,"32['H', 'k', 'y']758",2021,2025,812,47,27
1399,"73['p', 'u', 'O']275",2016,2020,278,17,3
1400,"40['c', 'H', 'R']137",2019,2023,626,6,12
1401,"85['e', 'O', 'j']375",2020,2024,26,42,33
1402,"38['n', 'M', 'S']707",2017,2021,461,32,10
1403,"93['o', 'l', 'G']55",2019,2023,701,6,25
1404,"45['F', 'Y', 'K']349",2016,2020,743,2,40
1405,"88['W', 'h', 'a']427",2018,2022,974,14,5
1406,"88['I', 'Q', 'e']831",2017,2021,420,12,22
1407,"7['b', 'z', 'y']956",2016,2020,837,38,15
1408,"81['K', 'k', 'P']805",2022,2026,540,24,26
1409,"78['k', 'A', 'G']54",2018,2022,560,18,10
1410,"88['B', 'Y', 'a']686",2022,2026,894,10,35
1411,"93['I', 'X', 'j']747",2021,2025,594,27,30
1412,"46['o', 'j', 'C']589",2016,2020,454,9,33
1413,"0['d', 'M', 'r']867",2021,2025,990,31,24
1414,"33['Y', 'Q', 'R']102",2021,2025,406,12,29
1415,"20['b', 'z', 'p']978",2016,2020,819,29,8
1416,"84['X', 'x', 'U']254",2022,2026,520,34,27
1417,"53['y', 'R', 'j']351",2017,2021,917,9,9
1418,"52['P', 'B', 's']182",2018,2022,502,17,26
1419,"61['C', 'T', 'a']806",2022,2026,641,13,24
1420,"26['l', 'V', 'A']361",2017,2021,637,8,21
1421,"3['G', 'k', 'v']278",2021,2025,200,24,18
1422,"94['B', 'Z', 'G']516",2016,2020,42,27,29
